,review,sentiment
11753,"There are two ways to regard 'Head'. Either it is a dazzling, mind-blowing collage of music, old film clips, psychedelia and T.V. sitcom-style comedy, or a plot less, pretentious, rambling mess. The truth probably lies somewhere in between. It is also one of the best movies of all time.<br /><br />'The Monkees' - Davy Jones, Peter Tork, Mickey Dolenz, and Mike Nesmith - had just finished their hit series, and wanted to do a movie. In collaboration with writer Jack Nicholson and director Bob Rafelson, they made 'Head'.<br /><br />It begins at a bridge opening ceremony in San Francisco, where the Monkees gate crash the proceedings. Mickey jumps over the safety rail, plunging hundreds of feet into the water. Mermaids rescue him to the accompaniment of a gorgeous Jerry Goffin & Carole King composition called 'The Porpoise Song' and visuals that make the Stargate finale of '2001' look drab by comparison. By now you will either have switched off in puzzled disgust or be completely captivated.<br /><br />More bizarre happenings unfold; Mickey uses a tank to destroy a Coca-Cola machine in the middle of the desert; the entire Italian Army surrenders to him; the group are hired to play to play the dandruff in Victor Mature's hair for a television commercial; an overweight waitress insults the group, describing them as 'God's gift to the eight year old's'; a surprise birthday party for Mike goes wrong; the group are sucked into a vacuum cleaner, and to cap it all, are driven away inside a giant glass tank.<br /><br />You will either hate this or love it. I found it a refreshing change from mindless pop musicals of the 'let's do the show right here' variety. The songs are good too; 'Daddy's Song' is superbly choreographed by Toni Basil ( later to appear in Rafelson's 'Easy Rider' ) and boasts wonderful editing, with Davy's clothes changing colour at lightning speed. 'As We Go Along' is a lovely Goffin & King number whose accompanying images carry a strong environmentalist message.<br /><br />Frank Zappa, Annette Funicello are just two of the guest stars to crop up. Did Victor Mature read the script before agreeing to do this, one wonders? He's hilarious in it though.<br /><br />So mad there just has to be real genius behind it, 'Head' is a little '60's gem and one worth revisiting time and time again. Shame it did not find an audience at the time. If only 'Spiceworld' had been like this!",positive
19858,"I've seen a few of Mr. Boorman's movies and didn't like much of them. Not that they are bad movies, quite the contrary are good movies, but not content I personally found entertaining. However I think Where the Heart Is, although made to cater to the less than art savvy American audience, is masterful as satire, and as social commentary of the times it was made in. I've had to replace this movie in my collection at least a half a dozen times, since every time I loan it out to someone I know could appreciate it's artistry on all its levels, my copy fails to come back home to me, lol. The last time took 7 years to replace it since it was out of print for VHS sales, has never been made as a DVD that I know of, and had to wait till one of the premium cable channels ran it before I could tape it again.<br /><br />My favorite aspect after the nail-on-the-head social commentary is the paintings by Timna Woollard. I've searched for 15 years to find anyone or anywhere that could lead me to where her work is available for sale. Or better yet a copy of the paintings in the movie without the ending credits rolling over them. I have a room in my house that I dedicated to putting copies of her paintings in, and no one seems to know if it ever was released as a coffee table book, or video aquarium, or as a documentary of her work. If anyone does know of where I can acquire any sort of copy of Timna's work or where her studio is in England, please do not hesitate to contact me via email.",positive
1497,"2005 was one of the best year for movies. We had so many wonderful movies, like Batman Begins, Sin City, Corpse Bride, A History of Violence.....Coming up we also got Brokeback Mountain, King Kong....But if this year the only great movie that came out was Everything Is Illuminated, then we wouldn't miss all this year has brought. The first movie as a director of the talented Liev Schreiber is a delightful, heart-warming, touching drama that also brings one of Elijah Wood's best roles. He is perfect as Jonathan, a curious man that heads for Ukraine to find the woman who saved his Grandfather in World War II. Liev Schreiber, who also writes the movie, conducts a masterpiece, with memorable scenes and (a lot of) funny quotes. This here is a genuine mixture of Comedy with Drama, bringing a movie that will be commented years from now. A serious Oscar contender, Everything is Illuminated is a powerful, original, and, why not say, illuminated movie. But there's one thing you should remember while entering the movie: leave normal behind. This is special.------9/10",positive
27114,"One can only imagine the film Mr. Welles might have finished without the interference of the studio! This film is a flawed Welles, but worth every minute of it because one can see the greatness of perhaps America's best motion picture director of all times!<br /><br />We can see the toll it took on Orson Welles the filming of this movie. The story has a lot of holes in it, perhaps because of the demands of the studio executives that didn't trust the director. <br /><br />It is curious by reading some of the opinions submitted to IMDB that compare Orson Welles with the Coen brothers, Roman Polanski, even Woody Allen, when it should be all of those directors that must be regarded as followers of the great master himself. No one was more original and creative in the history of American cinema than Mr. Welles. Lucky are we to still have his legacy either in retrospective looks such as the one the Film Forum in New York just ended, or his films either on tape or DVD form.<br /><br />Rita Hayworth was never more lovingly photographed than here. If she was a beauty with her red hair, as a blonde, she is just too stunning for words. Everett Sloan and Glenn Anders made an excellent contribution to the movie.<br /><br />The only thing that might have made this film another masterpiece to be added to Orson Welles body of work, was his own appearance in it. Had he concentrated in the directing and had another actor interpret Michael O'Hara, a different film might have been achieved altogether. Orson Welles has to be credited for being perhaps a pioneer in taking the camera away from the studio lot into the street. The visuals in this film are so amazing that we leave the theater after seeing this movie truly impressed for the work, the vision and the talent he gave us.",positive
47344,"This movie documents a transformative experience for a group of young men, and the experience of watching it is in itself transformative for the viewer. Few movies even aspire to this level of transcendence, and I can think of no other movie -- documentary or drama -- that achieves it. There is no other movie in which I have both laughed so much and cried so much. Yes, it is about DMD and accessible travel; on those issues alone, it is a worthwhile venture, but it is more. It is about friendship. It is about life itself, about living every day that you're alive. And it's a great, fun, adventurous narrative. This is why God created the cinema! See this movie!!!",positive
8207,"The men can slaver over Lollo, if they like (or her lollos--she gave her name to a slang terms for breasts in French), but the ladies have an even tastier morsel in the divine Gerard Philipe, who is not only beautiful but can act. Don't be deterred if your version has no subtitles because in this simple, dashing story of love and war, in which all is fair, they are not needed. All you need know is that, at the beginning of the film, Lollobrigida reads Philipe's palm and tells him he will marry the daughter of the king. Thereafter the story is quite plain from the Gallic gestures and the running, jumping, and swordplay.<br /><br />On the minus side, the obviousness of the story and the heavy-handed facetiousness of the tone become somewhat wearying, and it is annoying that the French apparently consider themselves too superior to Hollywood to bother even attempting the plausibility of its exciting stunts. And of course the non-French-speaker misses the occasional bit of ooh-la-la, such as: Virtuous girl: I must tell you that my heart belongs to Fanfan. Seducer: My dear, what made you think I was interested in that bagatelle?",positive
45178,"Finally got to see this classic TV movie on an unofficial disc recorded from an old VHS, it is a classic piece of horror. Its a pity more of this neglected corner of horror in terms of official releases on DVD and VHS ... the TV horror movie. Recommended for all fans of the 70's TV movie much like trilogy of terror. Those interested should get the book on the subject by David Deal - Television Fright Films of the 70's. Email me for a chance to see it.....its fabulous to see it again.<br /><br />It does have it problems like many TV movies they have to be rather inventive in the effects dept and even at 70 mins it can seem to drag possibly we are all used to more modern editing but still great stuff and far better than many theatrical frights released today.",positive
43729,"Beautifully filmed, mind expanding exploration of Gypsy culture in the context of their music. Travel across a continent, experiencing the amazing musical styles of various groups of Gypsy peoples. It is sort of misleading to say this movie is not narrated. It is masterfully narrated by the music itself, the soaring melodies and subtititled lyrics tell a story much better than a narrator would have. See this film.",positive
27702,"""The Cell"" is a rather difficult film to classify. If you read the plot outline, ""a psychotherapist journeys inside a comatose serial killer in the hopes of saving his latest victim"", you might think it's a thriller with a touch of science fiction. But that doesn't really do this movie justice. There is a fantasy aspect within the sub-conscious minds that is stunning, with lavish visuals and incredible mind-tripping scenarios. There is drama as the aforementioned psychotherapist (played by Lopez prior to her becoming a solely romantic comedy component) makes contact with the child within and witnesses his terrifying upbringing. And there is most definitely a horror facet due to the sickening actions of the serial killer's evil persona. The movie attempts to function on many different levels and crosses genre boundaries at will. While I feel it ends up being a reasonably bizarre experience, I find it to be completely fascinating.<br /><br />Right from the opening credits, with Lopez riding a horse through the desert stunningly clothed in a white dress, you will know that you are in for a visual treat. Every time the audience leaves reality and follows her into the sub conscious depths of her ""patients"", they are guaranteed a feast of visual and aural delight. The costumes are wonderful creations of angles and colour. The camera leaves regularities at the door and traverses a world where up and down are the same. The characters become rulers of their own domains and transform into creatures worthy of such stature. If you don't enjoy anything else about ""The Cell"", you will surely be impressed with the work put into these scenes.<br /><br />The casting is top notch also. Jennifer Lopez is in her element here, utilizing her natural, compassionate and almost maternal sensibilities, while combining her own striking looks with the lush surroundings, makeup and costumes. She is incredibly sexy and I personally wish someone would find another role for her outside of the rom-com world she has been typecast into that would allow her to experiment further. Vince Vaughn is fairly convincing as an FBI agent that will do anything to save the life of a young woman. But it is without a doubt Vincent D'Onofrio that has the biggest impression here. It's an extremely difficult role as he is required to bring out multiple emotions within the viewer. We are disgusted at his actions, yet sympathetic towards him due to the trauma he has experienced during his life. He looks magnificently powerful within his realm, yet insecure and vulnerable within the real world. It's a great performance from an underrated actor.<br /><br />While ""The Cell"" doesn't work as well on every level it ambitiously attempts (some of the actions of the characters are not believable) and while it is all based on some fairly flimsy scientific logic, it is an occasionally shocking, visually astounding head trip that rewards multiple viewings.",positive
20719,"Not much to it but a validation of small town values and the embracing of a mentally challenged young man into its heart.<br /><br />I read some of the reviews and was surprised at some of the hostility it engendered. I felt Cuba Gooding handled the part with dignity and respect unlike Sean Penn's drooling fool portrayal in ""I am Sam.""<br /><br />The fact that this is based on a true story makes it all the more heartwarming. Sports are taken seriously in small town high school America (and elsewhere, I suspect) and I felt the portrayal of these competitive students opening their hearts to one less fortunate rang true, at least for me.<br /><br />The coach was never forced to choose between his daughter and Radio but rather came gently to the decision himself under Radio's loving and open ways. Very well done to all. 7 out of 10.<br /><br />Debra Winger, we need more of you in pictures!",positive
2349,"This film has very tight and well planned dialogue, acting and choreography.<br /><br />Recommended film for anyone who wants to see masterful writing and plot.<br /><br />Question: Does anyone know where the house is actually located? It is one of the most interesting houses, a 19thC windmill.",positive
16169,"Why does everyone feel they have to constantly put this movie down? It is cute and funny (exactly what it is meant to be). Madonna wasn't out to prove herself as an Oscar calliber artist with this movie anyhow! She was just doing what the character called for, and she did it well. I loved her in this movie; it is my second favorite Madonna movie after Evita. The soundtrack is excellent too. It is no better or no worse than any cheesy 80's flick. To all the critics, just don't take it so seriously and you might have fun watching it. Madonna is a goddess!!!",positive
8593,"If you think ""Weird Al"" Yankovic is hilarious, you won't be disappointed by THE COMPLEAT AL. Not only does this rare mockumentary feature many of Yankovic's more memorable videos (""Like A Surgeon"" and ""I Love Rocky Road"" among them), but they are inter-spliced with funny vignettes supposedly highlighting the parodist's rise to fame. Yankovic is not for all tastes, but his humor is harmless and imaginative enough that even non-fans will at least be lightly amused. Die-hard fans will love it not only for its content, but also for its relatively early look into Yankovic's now nearly three decade career. Suitable for all ages, kiddies will no doubt love the funny visuals.",positive
900,"A wonderful film ahead of its time,<br /><br />I think so, In the eighty's it was all about winning, Greed is Good ? Remember that one ? I have seen this film more that 20 times, To me this is a real desert island film, I keep watching because there is always something more to learn about these flawed characters that I just love, Jessica Tandy, and Hume Cronin, are simply wonderful,Also Beverly D'angelo, Beau Bridges come in at a close second, don't get me wrong there are many more great performance's in this film, and it is also the way it is written that made it for me, and I hope you, a film that you will want to see over and over, I think TV shows like ""Northen Exposure"", and now ""Earl"" owe a lot to this film. but remember it is not a Tom Cruise film.",positive
26496,"National Lampoon's Class Reunion is a classic comedy film from the early 80's which combines unique characters, lots of laughs, and some great music from Chuck Berry. When Walter Bailor is absolutely humiliated by his classmates at their high school graduation he seizes the opportunity to get his revenge at his class reunion. One by one he stalks his classmates who include an innocent blind girl, a horny fat guy, the high school beauty, the king of all preps and even the ugly old lunch lady who served up slops to all the kids during highschool. This film has a sort of scary element in it and it has a few brief scenes of sexuality so I wouldn't recommend it for young children but it's a great movie for teens. If you are looking for a movie with a beautiful score, complex characters or killer special effects you might not love Class Reunion. If you want to sit down for 90 minutes and have some great laughs and a lot of fun (and who doesn't) then this movie should be on your movies to see list. ++",positive
24610,"A series of vignettes, most of them spoofing television of the 1970's, but also with some digs at the government and corporate America. One of the longest segments, ""The Dealers"" is not that funny to me and I don't know what it is parodying. Some of the others, though, are absolutely side-splitting. I particularly enjoy the cooking show segment. Most of the foul words I know are used in the movie, and, if you object to full frontal nudity, stay away.",positive
6978,"'Ray' lives on<br /><br />Ray Dir- Taylor Hackford Cast- Jamie Foxx, Kerry Washington, Regina King, Clifton Powell, Curtis Armstrong and Sharon Warren. Written by- Taylor Hackford and James L. White. Rating- ***<br /><br />""Hit the road Jack, and don't come backno more, no more, no more, NO MORE!"" Who would've thought that this immortal line that has almost become a remedial mantra for broken relationships in popular culture was conceived over a lovers' brawl! Ray Charles was a genius. And if there was one thing that he knew, breathed and lived for; it was music. So in a lifetime that comprised acute poverty, a desperate struggle with darkness, guilt, drugs and painful affairs; Ray still found moments when inspiration hit him out of nowhere and words and notes took their own shape to form an instant eternal classic! <br /><br />There are some lives that deserve to be transformed on the silver screen. Ray Charles's life was one of them. It almost comes as a shock to learn that this project had no studio-backing until it was completed! And that backing probably came after the initial screenings where Jamie Foxx's performance was lauded and predicted as a surefire Oscar winner in hushed voices. Jamie Foxx as Ray almost convinces us that it is indeed Ray Charles performing on screen and not an actor impersonating! From the crooked all-knowing smile to the bent gait of not so much a handicapped but a man dancing through his demons, Foxx captures every essence of the actual Ray Charles. Ray was a complicated man. He never demanded sympathy and very rarely showed it himself. An astute businessman, he ensured his success at any cost, sometimes at the price of losing his loved ones. He never apologized for his philandering ways and always maintained that he loved his family, which we are convinced he did. He liked sex; it was as simple as that! But beneath all, there also existed a Ray that was afraid of darkness. Imagine the horrors of a blind man afraid of darkness! His fear was because of his guilt. Ray was convinced that he was the reason for his brother's death, and his whole life was spent trying to redeem himself. Ray was a maverick who fused gospel with jazz, an unheard blasphemous practice in the 50's. But his intentions weren't to instigate. He was simply practicing the only way he knew of getting close to God!<br /><br />It is hard to capture such an eventful life as that of Ray, and that is perhaps where the movie fails. We are never really allowed to get close to Ray as a person. We know him only as much as we see him. His relationships, especially with Margie Hendricks(Regina King), aren't explored in detail. And the script barely passes over Della Bea(Kerry Washington), Ray's wife, who everyone knows was a rock by his side. And the biggest blunder of all is the rushed, almost abrupt climax. It's as if the director suddenly realized he was out of stock and called for a pack-up! Nonetheless, 'Ray' is definitely recommended for a flawless performance from Jamie Foxx and an able stellar ensemble. The songs and age create a sense of nostalgia, and we get a genuine feeling that the film is made with sincerity. <br /><br />- Abhishek Bandekar<br /><br />Note- 'Ray' is nominated in six categories at this year's Academy Awards, including Best Picture, Best Director and Best Actor(Jamie Foxx).<br /><br />Rating- ***<br /><br />* Poor ** Average *** Good **** Very Good ***** Excellent<br /><br />19th February, 2005",positive
47653,"If you are very sensitive when it comes to extreme racial stereotypes, this cartoon is not for you. But if you are strongly interested in seeing a rare piece of wartime animation, come on in!<br /><br />In this cartoon, Popeye is patrolling the seas and discovers what looks like a Japanese fishing boat. The two Japanese fishermen trick Popeye into thinking that they want a peace treaty signed. But looks can be deceiving; the fishing boat turns out to be a Japanese navy ship! What follows is considered today to be morale-boosting propaganda.<br /><br />Be forewarned, the representations of the Japanese in the film are done in a mean-spirited fashion. Keep in mind, though, that there was a war going on at the time. But I strongly recommend this cartoon to those who are interested in the WWII era.",positive
30087,"The premise of the story is common enough; average family wants out of the rat race; wants to find the simple life....so they move from Sherman Oaks,California to Lake Tomahawk; kids in tow.<br /><br />The lake is beautiful, they have leased an old house....but wait; there may be something in the lake; people are being murdered, and no one knows how (never mind why). Gerald McRaney is excellent, a familiar face for Lifetime viewers; Valerie Harper is also good; since this film was made in '88 maybe the writer should produce a sequel!.<br /><br />You will also enjoy Barry Corbin as the town eccentric, and Darryl Anderson as a Bruce Dern-lookalike/crazed military man.<br /><br />While the story plot is a bit over the top; if you are a movie buff you will be reminded of similar scenarios from """"Psycho""""; """"Deliverance""""; as well as other horror stories of that genre. Several camera shots and sequences will give you a sense of deja vu.<br /><br />Sit back and enjoy; if you don't take it too seriously it is very entertaining; and better than, for example the more recent movie:<br /><br />""""I Know What You Did Last Summer""""; it seems they made better movies in the good old 80's!.",positive
41946,"I was wrapped to see many other people also enjoyed this film. First watched it when I was in my early teens and then again several times late at night a few times after. Then sadly, no more. I'm now nearly 49 and so wish it could be made available on DVD. Why not? The best Anthony Quinn role, no one could have been more suited for the part or parts he plays - I've mentioned it to other film buffs of similar age and alas, no one I know recalls it. As the daughter of a generation that went through WWII and its aftermath (and myself deeply fascinated by what that generation endured) I guess this film at the time gave me a wonderful cinematic insight into some of the heartbreaking issues of the day. For classic final scenes this movie is a stand out.",positive
1405,"Absolutely stunning, warmth for the head and the heart. The kind of movie western movie makers are too rushed, too frenetic to even attempt. My kids watched it, and they loved it too. What real people--goes to show you how cultural differences (the Japanese setting) is less important than the human similarities. Go see it, whether you like dancing or not.",positive
25483,"I'm Italian and when I've recently looked again this film I astonished for its beauty: the first time I was 10 years old and I liked it, but today I can appreciate it with adult mind and feelings. Now I can understand it was a masterpiece of a special season of the Italian cinema (Pasolini etc.), by that time gone. <br /><br />The Hollywood epic films are good...for fun. Perhaps this 'Odyssey' had no English version because is not enough funny... not suitable for pop-corn and coke audience. However suitable for Homer pathos and existentialist reflections.<br /><br />In Italy was recently released a very good DVD version: INTEGRAL, with excellent colors. You can find it in some file sharing, but it's Italian only, and without subtitles. Too bad: also the dialogs and the voices of this film are remarkable.",positive
34406,"This is a film exploring the female sexuality in a way not so often used. Almost every other film with this kind of sexual scenes always becomes rated X, and so seen as a pornographic movie. Here is a kind of romantic horror story combined with the females ""own satisfaction"" need.<br /><br />A very good film!",positive
